Date,Close,High,Low,Open,Volume,Stock
2022-06-13,2672.537841796875,2729.6230703146225,2663.544871796907,2702.209933547017,68591,OFSS
2022-06-14,2658.896240234375,2780.4088820071906,2648.643652184664,2678.3157433709894,76300,OFSS
2022-06-15,2679.705810546875,2706.2498546894044,2671.79893859271,2684.7451315251215,57478,OFSS
2022-06-16,2628.529052734375,2723.8449040476467,2624.0109306437084,2710.8552234888425,62985,OFSS
2022-06-17,2599.378173828125,2628.3118468636712,2563.1894984722285,2628.3118468636712,77717,OFSS
2022-06-20,2597.16259765625,2635.3062464746176,2569.6190029574377,2635.3062464746176,61270,OFSS
2022-06-21,2695.345703125,2710.8985297101367,2611.1078371225103,2616.190856717058,56267,OFSS
2022-06-22,2637.5654296875,2698.9950452799844,2631.2660658879013,2671.7991287953546,62663,OFSS
2022-06-23,2692.261474609375,2710.0299840186403,2642.387759296865,2643.691076057374,47978,OFSS
2022-06-24,2712.07177734375,2734.9665798558194,2692.4350544190283,2728.2762632918916,73362,OFSS
2022-06-27,2743.13427734375,2780.669757111123,2734.575745881253,2745.653938195174,88214,OFSS
2022-06-28,2723.541015625,2738.6594048556294,2703.12238683612,2727.4074795019,111940,OFSS
2022-06-29,2724.670654296875,2745.5669966069167,2700.4723216469815,2702.210077323717,77347,OFSS
2022-06-30,2692.044189453125,2738.8331327365463,2678.750316394677,2723.9319629897223,61852,OFSS
2022-07-01,2658.027587890625,2714.2874286339825,2645.081392787135,2685.0497738557756,61691,OFSS
2022-07-04,2647.383544921875,2672.016314109452,2625.3576211257496,2671.799094670861,28635,OFSS
2022-07-05,2651.3369140625,2677.4902186586487,2641.0408402107414,2661.285521672645,58897,OFSS
2022-07-06,2689.177001953125,2702.6880952286797,2643.821619660885,2651.8152536222738,46283,OFSS
2022-07-07,2723.71435546875,2761.293315792228,2693.868321782465,2702.2096325090715,50719,OFSS
2022-07-08,2783.927734375,2797.7862917485186,2723.975170980389,2723.975170980389,84113,OFSS
2022-07-11,2791.052734375,2822.7232880013044,2749.172866520691,2764.8126670401866,53375,OFSS
2022-07-12,2746.348876953125,2822.983853258572,2739.875780041531,2780.2351097253886,70484,OFSS
2022-07-13,2781.060546875,2795.13632444757,2733.5329748621625,2745.6537774349763,47687,OFSS
2022-07-14,2755.55859375,2792.5728678264154,2736.9646962206625,2787.924287379911,42210,OFSS
2022-07-15,2710.0732421875,2777.454755458952,2701.3844645155746,2755.5588660230114,41657,OFSS
2022-07-18,2785.83935546875,2792.095232999218,2719.6743980061938,2727.103133251421,69415,OFSS
2022-07-19,2811.6884765625,2839.6662984586173,2780.408876699629,2793.4420433091586,88982,OFSS
2022-07-20,2831.4990234375,2846.4436792054566,2809.690105757075,2845.5748014035016,117834,OFSS
2022-07-21,2778.75830078125,2847.964335781941,2755.7330380558374,2845.57492172553,133142,OFSS
2022-07-22,2809.42919921875,2819.1607996078887,2769.7215289327232,2793.354961031301,94180,OFSS
2022-07-25,2805.12841796875,2826.763601902622,2791.7912713629285,2810.254924132332,60053,OFSS
2022-07-26,2686.35302734375,2818.161751554461,2676.1437128547745,2802.130998037873,83574,OFSS
2022-07-27,2650.46826171875,2693.5211994452343,2636.3489973668193,2692.6523216389614,145075,OFSS
2022-07-28,2695.7802734375,2701.036814281108,2664.0227482899736,2673.5804038286983,139828,OFSS
2022-07-29,2731.79541015625,2776.0646935955806,2709.812758419786,2713.505489232863,83924,OFSS
2022-08-01,2746.305419921875,2771.7200947720576,2725.4088670638303,2754.3425393189414,90086,OFSS
2022-08-02,2864.168701171875,2910.2192246700033,2737.573247867788,2745.6538538506807,451603,OFSS
2022-08-03,2889.5400390625,2904.5281808144073,2828.2841553807925,2864.1686381044055,210211,OFSS
2022-08-04,2884.457275390625,2922.036242831138,2808.256729503399,2891.6255177347693,125559,OFSS
2022-08-05,2924.51220703125,2975.8627538546384,2862.952134700833,2875.9853007161632,194240,OFSS
2022-08-08,2930.246826171875,2954.184451431945,2903.9197870172648,2932.375534306793,68196,OFSS
2022-08-10,2899.966552734375,2943.5406883900805,2889.1923410249055,2935.894521528475,39199,OFSS
2022-08-11,2961.396240234375,2971.084142827081,2906.3962332160036,2917.8653777196128,99926,OFSS
2022-08-12,2934.80810546875,2964.6106524012657,2915.9535021860042,2964.6106524012657,48279,OFSS
